CODE,PFTOT,PF0004,PF0509,PF1014,PF1519,PF2024,PF2529,PF3034,PF3539,PF4044,PF4549,PF5054,PF5559,PF6064,PF6569,PF7074,PF7579,PF8084,PF85P
10010567,328,13,14,15,10,8,15,27,21,18,19,27,32,29,29,23,14,8,6
10010568,308,13,16,18,12,16,25,27,21,23,19,19,23,23,22,15,10,4,2
10010569,266,12,14,20,14,12,18,24,18,21,20,20,21,18,13,7,6,4,4
10010570,316,13,16,18,17,15,12,24,27,27,23,21,21,26,22,14,10,7,3
10010571,219,8,11,9,8,13,14,16,13,18,18,15,15,21,19,12,4,3,2
10010572,682,42,49,43,25,35,79,93,66,53,46,36,29,26,26,15,9,7,3
10010573,770,41,50,46,31,34,42,61,59,57,50,53,45,50,49,34,22,17,29
10010574,267,15,16,16,16,14,14,20,21,19,17,15,17,23,22,14,5,2,1
10010575,754,50,67,53,40,37,40,66,78,70,62,50,36,33,26,19,15,8,4
10010576,444,27,31,26,21,17,25,39,47,38,30,24,26,29,26,19,11,5,3
10010577,217,9,13,12,11,11,17,19,19,15,13,13,16,14,10,8,6,6,5
10010578,310,13,14,16,18,15,21,25,23,19,17,18,23,31,23,14,8,5,7
10010579,527,30,40,33,27,22,26,33,41,41,36,35,29,32,32,32,22,9,7
10010580,285,10,14,15,15,16,22,19,20,19,19,20,20,22,20,14,10,6,4
10010581,341,14,19,27,25,17,23,25,26,30,30,21,18,23,17,10,8,6,2
10010582,324,14,19,17,17,14,22,22,24,24,31,29,23,24,16,11,9,6,2
10010583,337,14,19,17,16,14,17,21,29,31,31,27,25,22,21,18,11,3,1
10010584,505,25,25,37,32,25,29,41,40,46,34,40,38,29,24,19,10,7,4
10010585,327,21,19,24,14,10,21,33,35,28,18,18,20,19,20,14,7,4,2
10010586,303,20,24,20,14,13,19,21,23,23,25,25,20,13,13,15,7,4,4
10010587,174,3,2,1,5,9,10,11,15,16,13,14,13,13,17,15,7,5,5
10010588,358,21,20,23,16,17,21,26,27,24,20,24,29,26,24,14,8,9,9
10010589,650,37,39,43,30,23,39,58,58,57,48,45,38,33,41,33,15,8,5
10010590,366,10,12,19,21,19,27,26,23,27,25,27,29,23,23,20,13,12,10
10010591,347,16,20,21,18,13,14,28,28,29,23,26,25,22,22,20,12,5,5
10010592,276,14,14,16,12,7,20,26,24,20,16,19,18,15,15,18,11,8,3
10010593,290,14,16,19,19,13,14,15,22,28,26,26,22,13,14,11,11,4,3
10010594,252,13,16,15,22,19,15,15,15,17,22,26,21,12,7,7,6,2,2
10010595,211,6,8,13,12,11,13,12,14,12,17,22,25,19,14,6,4,2,1
10010596,258,11,14,19,19,14,10,8,14,23,25,26,25,17,15,9,4,3,2
10010597,250,10,12,11,15,15,15,11,16,17,21,23,22,18,20,13,8,2,1
10010598,334,15,18,21,18,16,22,17,17,28,33,29,24,17,18,17,12,5,7
10010599,338,13,15,17,25,21,16,15,20,25,33,31,28,21,24,18,9,3,4
10010600,332,15,17,23,29,19,17,18,21,22,29,30,23,17,20,17,10,3,2
10010601,276,12,16,17,16,9,11,15,17,19,18,22,22,20,22,16,13,5,6
10010602,601,22,26,41,45,31,35,32,39,46,56,57,45,31,32,28,18,7,10
10010603,294,7,9,17,22,16,17,17,18,21,28,27,23,16,18,18,11,4,5
10010604,313,14,16,17,19,13,13,17,22,26,21,23,27,22,24,22,12,3,2
10010605,284,16,17,18,20,20,16,12,16,22,32,29,19,15,13,7,5,3,4
10010606,1520,126,120,106,73,73,136,187,177,126,101,75,58,55,52,27,13,6,9
10010607,635,47,46,42,29,39,76,92,73,48,38,26,20,19,17,9,6,4,4
10010608,1207,95,82,75,62,57,112,141,134,103,93,68,48,47,44,25,11,5,5
10010609,615,33,35,35,30,32,58,75,63,42,38,32,34,30,27,13,7,8,23
10010610,594,44,42,37,27,33,63,67,52,44,40,31,31,28,24,12,9,6,4
10010611,119,6,5,5,4,7,13,14,10,8,7,8,8,8,7,5,3,1,0
